sample	good	bad	good_ids
ERR1912949	2	11	1929996.62, 1262969.141
ERR1912950	4	11	1929996.63, 1262969.142, 357276.1213, 820.5387
ERR1912951	3	8	1262969.144, 1929996.65, 1969565.54
ERR1912952	2	8	1929996.64, 1262969.143
ERR1912953	6	7	1262797.258, 239935.2427, 28116.1600, 1262884.733, 46503.2254, 59620.2607
ERR1912954	4	8	239935.2428, 28116.1601, 1896972.58, 59620.2606
ERR1912955	6	8	239935.2429, 1262797.260, 28116.1602, 278064.121, 46503.2256, 1262884.734
ERR1912956	3	8	239935.2430, 1896972.59, 28116.1603
ERR1912958	4	18	40518.2806, 33043.1636, 649756.2641, 59620.2610
ERR1912960	6	19	41200.135, 2507160.4, 1262779.475, 853.7945, 649756.2642, 59620.2611
ERR1912964	4	19	1929996.66, 1262821.35, 41200.134, 159272.1028
ERR1912965	5	24	1929996.67, 41200.136, 1262761.306, 159272.1029, 1262821.36
ERR1912966	4	21	1262821.37, 1929996.68, 41200.137, 1262761.307
ERR1912967	11	12	239935.2431, 2173.822, 1262775.809, 2161821.164, 512298.36, 1123282.17, 59620.2612, 1262810.32, 286133.208, 1262952.615, 2293063.16
ERR1912968	12	8	1262882.608, 2173.823, 239935.2432, 2161821.165, 1262775.808, 512298.35, 1946278.205, 1123282.19, 286133.209, 59620.2613, 1262952.616, 1262810.31
ERR1912969	9	14	2173.824, 239935.2433, 1946278.207, 2161821.166, 512298.37, 59620.2614, 1262952.617, 1946244.157, 2293063.17
ERR1912970	12	10	2173.825, 239935.2434, 2161821.167, 1262775.811, 1262793.545, 512298.38, 1946278.208, 59620.2615, 286133.211, 1262810.34, 2293063.18, 1262952.618
ERR1912972	2	16	2053618.161, 1262754.65
ERR1912973	2	13	1262754.67, 821.4276
ERR1912974	2	12	2053618.162, 1262754.66
ERR1912975	3	14	1262754.68, 821.4278, 59620.2620
ERR1912976	3	11	59620.2619, 2293049.75, 33038.837
ERR1912977	3	14	562.75524, 1262884.737, 2293049.77
ERR1912978	6	13	1262884.738, 821.4279, 2293049.76, 2293243.93, 59620.2622, 259315.230
ERR1912983	7	9	310297.1048, 46506.1989, 820.5399, 329854.459, 259315.231, 1946278.209, 28117.3417
ERR1912985	5	10	310297.1049, 46506.1990, 820.5400, 329854.460, 357276.1218
ERR1912986	3	15	165179.2678, 1929996.69, 626939.54
ERR1912987	5	24	1929996.70, 165179.2680, 28117.3420, 626939.55, 656411.32
ERR1912988	4	19	1929996.71, 165179.2679, 626939.56, 28117.3421
ERR1912994	1	14	1262821.38
ERR1912995	0	20	
ERR1912996	0	18	
ERR1912997	12	37	1262969.145, 1263043.65, 1262807.150, 40518.2808, 46506.1991, 820.5404, 1896972.62, 142586.2078, 1946508.2492, 626939.57, 1897004.299, 2053618.166
